ENST00000265709	NM_001142446.1	ANK1
ENST00000357077	NM_001148.4	ANK2
ENST00000280772	NM_020987.3	ANK3
ENST00000520309	NM_144708.3	ANKAR
ENST00000380230	NM_182703.3	ANKDD1A
ENST00000318698	NM_153228.2	ANKFN1
ENST00000341657	NM_016376.3	ANKFY1
ENST00000297183	NM_020690.5	ANKHD1-EIF4EBP3
ENST00000284268	NM_054027.4	ANKH
ENST00000265742	NM_019004.1	ANKIB1
ENST00000303941	NM_178510.1	ANKK1
ENST00000394458	NM_152363.5	ANKLE1
ENST00000357997	NM_015114.1	ANKLE2
ENST00000272972	NM_016552.2	ANKMY1
ENST00000306999	NM_020319.2	ANKMY2
ENST00000296785	NM_023039.4	ANKRA2
ENST00000267339	NM_017664.2	ANKRD10
